n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha
1000,0.01,1,5,0.4,0.8000000000000002,0.1
1000,0.01,1,3,0.4,0.8000000000000002,0.1
1000,0.01,5,5,0.4,0.6000000000000001,5.0
1000,0.01,4,5,0.4,0.8000000000000002,0.0
1000,0.01,5,7,0.8000000000000002,0.4,100.0
1000,0.01,6,4,0.8000000000000002,0.8000000000000002,100.0
1000,0.01,7,3,0.6000000000000001,0.4,0.1
1000,0.01,5,3,0.8000000000000002,0.8000000000000002,3.0
1000,0.01,7,5,0.8000000000000002,0.6000000000000001,75.0
1000,0.01,1,5,0.6000000000000001,0.8000000000000002,0.01
1000,0.01,7,3,0.4,0.4,75.0
1000,0.01,3,8,0.4,0.8000000000000002,25.0
1000,0.01,4,3,0.4,0.6000000000000001,10.0
1000,0.01,1,3,0.4,0.4,0.0
1000,0.01,6,5,0.4,0.6000000000000001,100.0
1000,0.01,2,7,0.4,0.8000000000000002,10.0
1000,0.01,5,7,0.6000000000000001,0.4,1.0
1000,0.01,1,3,0.4,0.6000000000000001,1.0
1000,0.01,1,4,0.4,0.6000000000000001,0.0
1000,0.01,2,3,0.4,0.8000000000000002,0.0
1000,0.01,7,7,0.4,0.6000000000000001,0.0
1000,0.01,3,3,0.8000000000000002,0.4,0.0
1000,0.01,7,8,0.4,0.6000000000000001,0.0
1000,0.01,1,6,0.4,0.4,3.0
1000,0.01,6,4,0.6000000000000001,0.8000000000000002,25.0
1000,0.01,1,4,0.4,0.4,3.0
1000,0.01,1,7,0.4,0.4,50.0
1000,0.01,4,3,0.4,0.4,0.0
1000,0.01,1,8,0.4,0.6000000000000001,0.01
1000,0.01,1,7,0.4,0.4,1.0
1000,0.01,1,6,0.4,0.4,0.01
1000,0.01,1,7,0.8000000000000002,0.8000000000000002,1.0
1000,0.01,1,5,0.8000000000000002,0.4,0.1
1000,0.01,5,8,0.8000000000000002,0.8000000000000002,100.0
1000,0.01,1,6,0.8000000000000002,0.4,7.0
1000,0.01,5,8,0.4,0.4,100.0
1000,0.01,6,8,0.8000000000000002,0.8000000000000002,75.0
1000,0.01,1,8,0.8000000000000002,0.8000000000000002,1.0
1000,0.01,1,8,0.4,0.8000000000000002,50.0
1000,0.01,7,5,0.6000000000000001,0.8000000000000002,50.0
1000,0.01,4,6,0.6000000000000001,0.4,3.0
1000,0.01,3,6,0.8000000000000002,0.6000000000000001,0.01
1000,0.01,4,3,0.6000000000000001,0.4,1.0
1000,0.01,6,8,0.6000000000000001,0.4,10.0
1000,0.01,2,3,0.6000000000000001,0.8000000000000002,25.0
1000,0.01,1,4,0.4,0.4,0.0
1000,0.01,1,8,0.4,0.4,0.1
1000,0.01,4,3,0.4,0.4,0.0
1000,0.01,1,3,0.4,0.4,10.0
1000,0.01,2,3,0.8000000000000002,0.4,0.1
1000,0.01,2,3,0.4,0.6000000000000001,7.0
1000,0.01,5,3,0.6000000000000001,0.4,10.0
1000,0.01,1,4,0.4,0.4,0.0
1000,0.01,1,8,0.4,0.8000000000000002,50.0
